date,vwretd,ewretd,sprtrn
2018-01-05,0.005804,0.00388,0.007034
2018-01-08,0.001816,0.000584,0.001662
2018-01-09,0.000921,-0.001584,0.001303
2018-01-10,-0.001506,0.0001,-0.001112
2018-01-11,0.008295,0.011966,0.007034
2018-01-12,0.006082,0.003715,0.00675
2018-01-16,-0.004432,-0.00737,-0.003524
2018-01-17,0.008575,0.004769,0.009415
2018-01-18,-0.002002,-0.003355,-0.001616
2018-01-19,0.005419,0.007173,0.004385
2018-01-22,0.007587,0.005004,0.008067
2018-01-23,0.002623,0.002905,0.002174
2018-01-24,-0.000901,-0.001853,-0.00056
2018-01-25,7.6e-05,-0.000398,0.000603
2018-01-26,0.009965,0.004628,0.011841
2018-01-29,-0.006914,-0.007809,-0.006732
2018-01-30,-0.010195,-0.010015,-0.010899
2018-01-31,0.000149,-0.002694,0.000489
2018-02-01,-0.000265,-0.000633,-0.000648
2018-02-02,-0.020867,-0.018847,-0.021209
2018-02-05,-0.038014,-0.027854,-0.040979
2018-02-06,0.015314,0.008436,0.017441
2018-02-07,-0.004174,-0.000454,-0.005002
2018-02-08,-0.034695,-0.022941,-0.037536
2018-02-09,0.012281,0.002426,0.014936
2018-02-12,0.013221,0.010865,0.013915
2018-02-13,0.002897,0.003372,0.002613
2018-02-14,0.014362,0.012807,0.013403
2018-02-15,0.011112,0.007357,0.012069
2018-02-16,0.000368,0.001361,0.000373
2018-02-20,-0.006285,-0.006603,-0.005841
2018-02-21,-0.004405,-0.000251,-0.005497
2018-02-22,0.000219,-0.001503,0.000974
2018-02-23,0.014656,0.009611,0.016028
2018-02-26,0.009999,0.005807,0.011757
2018-02-27,-0.012554,-0.011787,-0.012707
2018-02-28,-0.011036,-0.009711,-0.011096
2018-03-01,-0.010788,-0.003841,-0.013324
2018-03-02,0.005872,0.009519,0.005072
2018-03-05,0.010129,0.007872,0.011032
2018-03-06,0.004148,0.005592,0.002639
2018-03-07,0.00045,0.002498,-0.000484
2018-03-08,0.003647,0.001971,0.004463
2018-03-09,0.01575,0.010643,0.017379
2018-03-12,-0.000151,0.003359,-0.001274
